Question,A,B,C,D,Answer,Qtype
"
 x=3, y=5","
 x=3, y=3","
 x=5, y=5","
","1 Two directed graphs(G and H) are isomorphic if and only if A=PBP-1, where P and A are adjacency matrices of G and H respectively.", a,DS
"
 False","
","1 Given the following program, what will be the 3rd number that’d get printed in the 	output sequence for the given input?",Input Sequence:-,2, c,DS
"
 8","
 4","
","1 For which type of graph, the given program won’t run infinitely? The Input would be in the form of an adjacency Matrix and n is its dimension (1<n<10).", All Fully Connected Graphs, b,DS
"
 All Bipartite Graphs","
 All simple graphs","
","1 Given the following adjacency matrix of a graph(G) determine the number of 	components in the G.",1, c,DS
 Incidence matrix and Adjacency matrix of a graph will always have same dimensions?,"
 True","
 False","
", The column sum in an incidence matrix for a simple graph is __________, b,DS
"
 always greater than 2","
 equal to 2","
 equal to the number of edges","
", What are the dimensions of an incidence matrix?, c,DS
"
 Number of edges*number of vertices","
 Number of vertices*number of vertices","
 Number of edges * (",⁄, * number of vertices), b,DS
 The column sum in an incidence matrix for a directed graph having no self loop is __________,"
 0","
 1","
 2","
 equal to the number of edges", a,DS
 Time complexity to check if an edge exists between two vertices would be ___________,"
 O(V*V)","
 O(V+E)","
 O(1)","
 O(E)", d,DS
 The graphs G1 and G2 with their incidences matrices given are Isomorphic., True,"
 False","
", If a connected Graph (G) contains n vertices what would be the rank of its incidence matrix?, a,DS
"
 values greater than n are possible","
 values less than n-1 are possible","
 insufficient Information is given","
", In the following DAG find out the number of required Stacks in order to represent it in a Graph Structured Stack., a,DS
"
 1","
 2","
 3","
 4","
", c,DS
"
 Undirected Graph","
 Directed Graph","
 Directed Acyclic Graph","
 Regular Graph","
", c,DS
"
 Source – 1, 8 Sink – 7,4","
 Source – 1 Sink – 8,4","
 Source – 1, 8 Sink – 4","
 Source – 4, Sink – 1,8","
", c,DS
"
 Bogo Sort","
 Tomita’s Algorithm","
 Todd–Coxeter algorithm","
 Heap Sort","
", b,DS
 Space complexity for an adjacency list of an undirected graph having large values of V (vertices) and E (edges) is ___________,"
 O(E)","
 O(V*V)","
 O(E+V)","
 O(V)", c,DS
 For some sparse graph an adjacency list is more space efficient against an adjacency matrix.,"
 True","
 False","
", Time complexity to find if there is an edge between 2 particular vertices is _________, a,DS
"
 O(E)","
 O(1)","
 O(V+E)","
"," For the given conditions, which of the following is in the correct order of increasing space requirement?", a,DS
"
ii) Directed, no weight","
iii) Directed, weighted","
iv) Undirected, weighted","
 ii iii i iv","
 i iii ii iv", a,DS
"
 i ii iii iv","
", Space complexity for an adjacency list of an undirected graph having large values of V (vertices) and E (edges) is __________,"
 O(V)","
 O(E*E)", c,DS
"
 O(E+V)","
", Complete the given snippet of code for the adjacency list representation of a weighted directed graph.," vertex, vertex","
 neighbor, vertex", c,DS
"
 vertex, neighbor","
", In which case adjacency list is preferred in front of an adjacency matrix?,"
 Dense graph","
 Sparse graph", b,DS
"
 Complete graph","
", To create an adjacency list C++’s map container can be used.,"
 True","
 False", a,DS
" What would be the time complexity of the following function which adds an edge between two vertices i and j, with some weight ‘weigh’ to the graph having V vertices?", O(1),"
 O(V)","
 O(V*V)","
 O(log V)", a,DS
 What would be the time complexity of the BFS traversal of a  graph with n vertices and n, edges?,"
 O(n)","
 O(n",), b,DS
  The number of possible undirected graphs which may have self loops but no multiple edges and have n vertices  is ________,"
 2","
 2","
 2","
 2", d,DS
" Given a plane graph, G having 2 connected component, having 6 vertices, 7 edges and 4 regions. What will be the number of connected components?","
 1","
 2","
 3","
 4", b,DS
 Number of vertices with odd degrees in a graph having a eulerian  walk is ________,"
 0","
 Can’t be predicted","
 2","
 either 0 or 2", d,DS
 How many of the following statements are correct?,"
i)  All cyclic graphs are complete graphs.","
ii) All complete graphs are cyclic graphs.","
iii) All paths are bipartite.","
iv) All cyclic graphs are bipartite.", b,DS
"
 1","
 2","
 3","
 4","
", b,DS
"
 True","
 False","
"," What is the number of vertices of degree 2 in a path graph having n vertices,here n>","
 n-2", a,DS
"
 2","
 0","
", All trees with n vertices consists of n-1 edges.,"
 True", a,DS
"
", Which of the following graphs are isomorphic to each other?,"
","
 fig 1 and fig 2","
 fig 2 and fig 3", d,DS
"
 fig 1, fig 2 and fig 3","
", In the given graph which edge should be removed to make it a Bipartite Graph?,"
","
 A-C", a,DS
"
 C-D","
 D-E","
", What would the  time complexity to check if an undirected graph with V vertices and E edges is Bipartite or not given its adjacency matrix?,"
 O(E*E)", b,DS
 Dijkstra’s Algorithm will work for both negative and positive weights?,"
 True","
 False","
", A graph having an edge from each vertex to every other vertex is called a ___________, b,DS
"
 Strongly Connected","
 Weakly Connected","
 Loosely Connected","
", What is the number of unlabeled simple directed graph that can be made with 1 or 2 vertices?, a,DS
"
 4","
 5","
 9","
", Floyd Warshall Algorithm used to solve the shortest path problem has a time complexity of __________, b,DS
"
 O(V*V*V)","
 O(E*V)","
 O(E*E)","
", All Graphs have unique representation on paper., b,DS
"
 False","
"," Assuming value of every weight to be greater than 10, in which of the following cases the shortest path of a directed weighted graph from 2 vertices u and v will never change?","
 add all values by 10","
 subtract 10 from all the values", b,DS
"
 in both the cases of multiplying and adding by 10","
", What is the maximum possible number of edges in a directed graph with no self loops having 8 vertices?,"
 28","
 64", c,DS
"
 56","
", What would be the DFS traversal of the given Graph?,"
","
 ABCED", d,DS
"
 EDCBA","
 ADECB","
"," What would be the value of the distance matrix, after the execution of the given code?","	", a,DS
"	",  None of the mentioned,"
", What is the maximum number of edges present in a simple directed graph with 7 vertices if there exists no cycles in the graph?,"
 21", b,DS
 Every Directed Acyclic Graph has at least one sink vertex.,"
 True","
 False","
", Which of the following is not a topological sorting of the given graph?, a,DS
"
 A B C D E F","
 A B F E D C","
 A B E C F D","
 A B C D F E","
", d,DS
"
 (V*(V-1))/2","
 (V*(V+1))/2","
 (V+1)C2","
 (V-1)C2","
", a,DS
"
 cubic","
 quadratic","
 linear","
 logarithmic","
", c,DS
"
 Many Hamiltonian paths are possible","
 No Hamiltonian path is possible","
 Exactly 1 Hamiltonian path is possible","
 Given information is insufficient to comment anything","
", b,DS
"
","
 A F D B C E","
 C B A F E D","
 A B D C E F","
 E F D C B A", c,DS
 What would be the output of the following C++ program if the given input is, 0 2 3 1 4,"
 0 3 2 4 1","
 0  2 3 4 1","
 0 3 2 1 4", b,DS
 Which of the given statement is true?,"
 All the Cyclic Directed Graphs have topological sortings","
 All the Acyclic Directed Graphs have topological sortings","
 All Directed Graphs have topological sortings","
 All the cyclic directed graphs hace non topological sortings", d,DS
" For any two different vertices u and v of an Acyclic Directed Graph if v is reachable from u, u is also reachable from v?","
 True","
 False","
", What is the value of the sum of the minimum in-degree and maximum out-degree of an Directed Acyclic Graph?, b,DS
 In which of the following does a Directed Acyclic Word Graph finds its application in?,"
 String Matching","
 Number Sorting","
 Manipulations on numbers","
 Pattern Printing", a,DS
 What is the number of words that can be formed from the given Directed Acyclic Word Graph?,"
","
 2","
 4","
 12", b,DS
"
", Determine the longest string which is described by the given Directed Acyclic Word Graph.,"
","
 BATS","
 BOATS", a,DS
"
 BAT","
"," What is time complexity to check if a string(length S1) is a substring of another string(length S2) stored in a Directed Acyclic Word Graph, given S2 is greater than S1?","
 O(S1)","
 O(S2)", a,DS
"
 O(1)","
", In which of the following case does a Propositional Directed Acyclic Graph is used for?,"
 Representation of Boolean Functions","
 String Matching", a,DS
"
 Sorting of number","
", Consider the following symbols and choose which of the symbols represent nodes having atleast one child?,"
i) Δ ii) ◊ iii) ∇ iv) T v) ⊥","
 iv) and v)", c,DS
"
 i) and ii)","
 i) and iii)","
", Which of the following symbols represent nodes having exactly one child?,"
i) Δ ii) ◊ iii) ∇ iv) T v) ⊥", d,DS
"
 v)","
 i) and iii)","
 iii)","
", Which of the following symbols represent leaf nodes?, a,DS
"
 iv) and v)","
 v)","
 i) and iii)","
 ii)","
", a,DS
"
 True","
 False","
", In a Propositional Directed Acyclic Graph Leaves maybe labelled with a boolean variable.,"
 True","
 Both Binary Decision Diagram and Propositional Directed Acyclic Graph may be used to represent the same Boolean function. ",DS
 Given Adjacency matrices determine which of them are PseudoGraphs?,"
i)   {{1,0} {0,1}}","
ii)  {{0,1}{1,0}}","
iii) {{0,0,1}{0,1,0}{1,0,0}}","
 only i)", c,DS
"
  i) and iii)","
 i) ii) and iii)","
", All undirected Multigraphs contain eulerian cycles.,"
 True", a,DS
"
", Determine the number of vertices for the given Graph or Multigraph?,"
G is a 4-regular Graph having 12 edges.","
 3","
 6", b,DS
"
 Information given is insufficient","
", Which of the following statement is true.,"
 There exists a Simple Graph having 10 vertices such that minimum degree of the graph is 0 and maximum degree is 9","
 There exists a MultiGraph having 10 vertices such that minimum degree of the graph is 0 and maximum degree is 9", b,DS
"
 None of the mentioned","
", Given Adjacency matrices determine which of them are PseudoGraphs?,"
i)   {{1,0} {0,1}}","
ii)  {{0,1}{1,0}}", c,DS
"
 only i)","
 ii) and iii)","
  i) and iii)","
 i) ii) and iii)","
", d,DS
"
 3, Infinite, 4","
 4, 3, Infinite","
 4, Infinite, infinite","
 4, Infinite, Infinite","
", d,DS
"
 V = {v1, v2, v3} E = {e1, e2} = {{v2, v3} {v1, v3}}","
 V = {v1, v2} E = {e1} = {{v1, v2}}","
 V = {v1, v2, v3} E = {e1, e2, e3} = {{v2, v3}{v3, v1}{v2, v1}}","
 All of the mentioned","
", a,DS
"
V = {x,y,z} E = {{x,y}{y}{x,z}{z,y}}","
 {{1,0,1,0},","
      {1,1,0,1},","
      {0,0,1,1}}","
 {{1,1,0,0},", b,DS
"
      {1,1,1,0}}","
 {{0,1,0,1},","
      {0,0,1,0},","
      {1,1,0,0}}","
  None of the Mentioned", a,DS
 Binary Decision Diagram is a type of __________,"
 Multigraph","
 Cyclic Graph","
 Directed Acyclic Graph","
 Directed Acyclic Word Graph", c,DS
 In which of the following case does a Binary Decision Diagram is used for?,"
 Representation of Boolean Functions","
 String Matching","
 Searching","
 Sorting of number", a,DS
" In a Binary Decision Diagram, how many types of terminal exists?","
 1","
 2","
 3","
 4", b,DS
 In a Binary Decision  Diagrams 0 values by a _________ line and the 1 values are represented by a _________ line.,"
 dashed, bold","
 bold, dashed","
 dotted, bold","
 dotted, dashed", c,DS
 How many nodes are required to create a Binary Decision Tree having 4 variables?,"
 2","
 2","
 2","
 2", d,DS
 Two or more And Inverter Graphs can represent same function.,"
 True","
 False","
", Size of an And Inverter Graph is the number of _______ gates and the number of logic levels is number of ________ gates on the __________ path from a primary input to a primary output., a,DS
"
 AND, OR, longest","
 OR, OR, shortest","
 AND, AND, longest","
", And Inverter Graph is a type of __________, d,DS
